"SSID","BSSID","Mfg Mac","Worst Problem","AP","Channel","Channel Width","802.11 Type","Signal","SNR","Security","Authorization Class","Basic Rates","TX Power","QBSS Station Count","QBSS Channel Utilization","Channel Changes","Country Code","Retries","Max n Rate","Max ac Rate","Max ax Rate","Max be Rate","Clients","Multi-BSSID","Reduced Neighbor Report","Name","Last Seen"
"Frontier6236","Netgear:744401-2ce3ee","Netgear:744401-2ce3ee","--","Netgear:744401-2ce3ee","1","20","n,g,b","--","--","WPA-P","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Netgear:744401-2ce3ee","Feb 22,2021 01:39PM"
"CBCI-C226-2.4","Pegatron:c07cd1-bb1838","Pegatron:c07cd1-bb1838","--","Pegatron:c07cd1-bb1838","1","20","n,g,b","--","--","WPA2-P,WPA-P","Unspecified","1,2,5.5,6,11,12","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Pegatron:c07cd1-bb1838","Feb 22,2021 01:37PM"
"[Hidden]","localAdm:8a1504-9bab91","Local:8a1504-9bab91","--","Local:8a1504-9bab91","11","20","n,g,b","--","--","WPA2-P","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:8a1504-9bab91","Feb 22,2021 01:37PM"
"[Hidden]","localAdm:8a1504-9bab9f","Local:8a1504-9bab9f","--","Local:8a1504-9bab91","11","20","n,g,b","--","--","WEP","Unspecified","11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:8a1504-9bab9f","Feb 22,2021 01:37PM"
"NVR542b572da93a","NightOwl:542b57-2da93a","NightOwl:542b57-2da93a","--","NightOwl:542b57-2da93a","11","20","n,g,b","--","--","WPA2-P","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","2","--","--","NightOwl:542b57-2da93a","Feb 22,2021 01:43PM"
"DIRECT-41-HP OfficeJet Pro 6970","HewlettP:ace2d3-e09442","HewlettP:ace2d3-e09442","--","HewlettP:ace2d3-e09442","6","20","n,g","--","--","WPA2-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","HewlettP:ace2d3-e09442","Feb 22,2021 01:38PM"
"[Hidden]","localAdm:8a1504-9bab90","Local:8a1504-9bab90","--","Local:8a1504-9bab91","11","20","n,g,b","--","--","WPA2-P,WPA-P","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:8a1504-9bab90","Feb 22,2021 01:37PM"
"[Hidden]","localAdm:8a1514-9bac70","Local:8a1514-9bac70","--","Local:8a1514-9bac70","157","80","ac,n,a","--","--","WPA2-P,WPA-P","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:8a1514-9bac70","Feb 22,2021 01:36PM"
"HP06D76B","HewlettP:9c8e99-06d76b","HewlettP:9c8e99-06d76b","--","HewlettP:9c8e99-06d76b","1","20","g,b","--","--","Open","Unspecified","1,2,5.5,11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","HewlettP:9c8e99-06d76b","Feb 22,2021 01:43PM"
"SRMSTF-1","localAdm:6e3a1e-321523","Local:6e3a1e-321523","--","Local:6a3a0e-321523","11","20","n,g,b","--","--","WPA2-P","Unspecified","11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:6e3a1e-321523","Feb 22,2021 01:43PM"
"[Hidden]","localAdm:8a1514-9bac7f","Local:8a1514-9bac7f","--","Local:8a1514-9bac70","157","80","ac,n,a","--","--","WEP","Unspecified","6,12,24","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:8a1514-9bac7f","Feb 22,2021 01:36PM"
"[Hidden]","localAdm:8a1504-9bac7f","Local:8a1504-9bac7f","--","Local:8a1504-9bac7f","1","20","n,g,b","--","--","WEP","Unspecified","11","--","--","--","--","Unknown","0 %","--","--","--","--","--","--","--","Local:8a1504-9bac7f","Feb 22,2021 01:36PM"
